NSN,First_Name,Surname,DOB,Gender,Ethnicity,Citizenship_Status,Residency_Status,Faculty_Home,Enrolment_Status,Year_of_Study,Disability_Flag,First_in_Family
1000000000,Whina,Anderson,1973-05-31,Female,Māori,NZ Permanent Resident,Domestic,Science & Technology,Enrolled,1,N,N
1000000001,Wei,Faleolo,2007-04-16,Female,Pacific Peoples,NZ Citizen,Domestic,Education,Enrolled,1,N,N
1000000002,Finn,Williams,1977-10-12,Male,NZ European,NZ Citizen,Domestic,Science & Technology,Completed,1,N,N
1000000003,Fatima,Parata,1997-05-29,Female,Other,International,International,Education,Completed,2,N,N
1000000004,Sione,Fitzgerald,2002-08-30,Male,Māori,NZ Citizen,Domestic,Education,Enrolled,1,N,Y
1000000005,Miguel,Brown,1999-06-22,Male,Other,International,International,Science & Technology,Enrolled,1,N,N
1000000006,Amir,Patel,1998-02-23,Male,NZ European,NZ Permanent Resident,Domestic,Health Sciences,Withdrawn,2,N,N
1000000007,Sina,Brown,2000-04-20,Female,Māori,NZ Citizen,Domestic,Arts & Social Sciences,Withdrawn,2,Y,N
1000000008,Hemi,Stewart,1989-02-24,Male,Other,International,International,Arts & Social Sciences,Enrolled,1,N,Y
1000000009,Ngaio,McCarthy,1987-08-18,Female,Māori,NZ Permanent Resident,Domestic,Business & Economics,Enrolled,2,N,N
1000000010,Grace,Fono,1999-06-09,Female,Asian,International,International,Arts & Social Sciences,Enrolled,1,N,N
1000000011,Lin,Martin,1997-10-11,Female,Other,International,International,Education,Enrolled,1,N,N
1000000012,Ruby,Santos,1979-05-13,Female,NZ European,NZ Citizen,Domestic,Education,Enrolled,1,N,N
1000000013,Leo,Latu,2002-10-17,Male,NZ European,NZ Citizen,Domestic,Business & Economics,Enrolled,1,N,N
1000000014,William,Anderson,2000-08-04,Male,NZ European,NZ Citizen,Domestic,Foundation Studies,Enrolled,2,N,N
1000000015,Finn,Anderson,1999-04-01,Male,Asian,International,International,Health Sciences,Enrolled,2,N,Y
1000000016,Lin,Smith,2004-03-07,Female,Asian,International,International,Arts & Social Sciences,Enrolled,1,N,Y
1000000017,Leilani,Costa,1976-04-25,Female,NZ European,NZ Citizen,Domestic,Science & Technology,Enrolled,1,N,Y
1000000018,Amelia,Santos,1997-06-09,Female,Unknown/Not Stated,NZ Citizen,Domestic,Health Sciences,Enrolled,1,N,N
1000000019,Aisha,Williams,2001-12-05,Female,Pacific Peoples,NZ Citizen,Domestic,Arts & Social Sciences,Enrolled,1,N,N
1000000020,Logan,Seu,2003-07-03,Male,NZ European,NZ Citizen,Domestic,Education,Completed,4,Y,Y
1000000021,Moana,Ferreira,1987-09-01,Female,Unknown/Not Stated,NZ Citizen,Domestic,Science & Technology,Withdrawn,2,N,N
1000000022,Ruby,Anderson,1989-04-22,Female,Asian,International,International,Business & Economics,Enrolled,3,N,N
1000000023,Oscar,Faleolo,2005-07-05,Male,NZ European,NZ Citizen,Domestic,Business & Economics,Enrolled,4,N,N
1000000024,Tupou,Harris,1973-06-26,Male,Asian,NZ Permanent Resident,Domestic,Business & Economics,Enrolled,1,N,Y
1000000025,Sione,Anderson,1994-09-26,Male,Other,International,International,Science & Technology,Enrolled,2,N,N
1000000026,Liam,Sullivan,1999-02-22,Male,Asian,International,International,Business & Economics,Enrolled,2,Y,N
1000000027,Fatima,Tūhoe,1982-01-25,Female,NZ European,NZ Citizen,Domestic,Science & Technology,Enrolled,3,N,N
1000000028,Noah,Thompson,1970-03-02,Male,NZ European,NZ Permanent Resident,Domestic,Business & Economics,Enrolled,1,N,N
1000000029,Mere,Fraser,1993-07-09,Female,Asian,International,International,Arts & Social Sciences,Withdrawn,3,N,N
1000000030,Sione,Thomas,1987-10-25,Male,NZ European,NZ Citizen,Domestic,Education,Enrolled,2,N,Y
1000000031,Mason,Costa,2007-02-01,Male,NZ European,NZ Citizen,Domestic,Education,Enrolled,2,N,N
1000000032,Finn,Martin,2002-02-12,Male,Māori,NZ Citizen,Domestic,Foundation Studies,Enrolled,1,N,N
1000000033,Olivia,Singh,2002-11-16,Female,NZ European,NZ Permanent Resident,Domestic,Business & Economics,Enrolled,1,N,N
1000000034,Oliver,Thompson,1973-11-19,Male,NZ European,NZ Citizen,Domestic,Business & Economics,Enrolled,3,N,N
1000000035,Carlos,Kim,1979-10-06,Male,NZ European,NZ Permanent Resident,Domestic,Arts & Social Sciences,Enrolled,3,N,N
