NSN,Faculty,Citizenship_Status,Ethnicity,Gender,Year_of_Study,Disability_Flag,First_in_Family,Teaching_Score,Support_Score,Sense_of_Belonging,Admin_Experience,Retention_Likelihood,Survey_Response_Flag,Survey_Year,Free_Text_Theme
1000003106,Business & Economics,NZ Citizen,NZ European,Male,1,N,N,7.7,5.0,7.9,8.1,6.2,Y,2024,Timetabling clashes made study difficult
1000006161,Business & Economics,NZ Citizen,Asian,Male,1,N,N,5.5,6.9,5.9,6.3,5.8,Y,2024,Would benefit from more career guidance
1000001867,Arts & Social Sciences,NZ Citizen,NZ European,Female,2,N,N,8.0,7.5,6.6,8.4,7.9,Y,2024,Would benefit from more career guidance
1000003238,Arts & Social Sciences,International,Asian,Female,2,N,N,5.6,6.9,4.2,6.2,4.9,Y,2024,Course content felt outdated in places
1000005509,Business & Economics,International,Asian,Male,4,N,N,9.0,6.5,5.5,7.3,7.1,Y,2024,Would benefit from more career guidance
100006167,Education,International,Asian,Female,2,N,Y,8.2,10.0,5.4,4.8,7.0,Y,2024,Library resources met my needs
1000002142,Arts & Social Sciences,NZ Citizen,NZ European,Female,1,N,N,5.6,5.0,7.7,7.7,6.4,Y,2024,Would benefit from more career guidance
1000002457,Science & Technology,NZ Citizen,Māori,Not Stated,1,N,N,6.1,7.3,6.3,8.0,6.8,Y,2024,Administrative processes were confusing
1000006047,Arts & Social Sciences,NZ Citizen,Pacific Peoples,Female,2,N,Y,6.9,6.8,7.0,5.7,6.0,Y,2024,Would benefit from more career guidance
1000003244,Business & Economics,International,Asian,Female,2,N,N,9.4,5.3,7.8,5.7,7.0,Y,2024,Campus facilities are excellent
1000002103,Arts & Social Sciences,NZ Citizen,NZ European,Male,3,N,Y,7.8,7.6,5.9,5.4,6.8,Y,2024,Timetabling clashes made study difficult
1000002952,Arts & Social Sciences,International,MELAA,Female,3,N,N,5.0,4.5,4.5,6.6,4.3,Y,2024,Cultural events helped me feel included
1000006341,Business & Economics,International,Asian,Male,1,N,N,7.5,7.7,5.4,5.0,6.3,Y,2024,Administrative processes were confusing
1000000217,Education,NZ Citizen,Māori,Male,4,N,N,5.9,8.1,5.1,7.2,6.5,Y,2024,Timetabling clashes made study difficult
1000000230,Foundation Studies,NZ Permanent Resident,NZ European,Female,2,N,N,5.9,4.6,6.4,3.1,4.4,Y,2024,Enjoyed the hands-on learning approach
1000002287,Science & Technology,NZ Citizen,Other,Female,3,N,Y,5.6,7.5,4.9,5.6,5.6,Y,2024,Support services were very helpful
1000001405,Arts & Social Sciences,NZ Citizen,MELAA,Male,1,N,N,7.8,4.8,6.1,4.5,5.9,Y,2024,Workload felt unmanageable at times
1000000681,Education,NZ Citizen,MELAA,Female,1,N,Y,8.8,4.5,7.3,6.8,6.2,Y,2024,Campus facilities are excellent
1000001832,Health Sciences,NZ Permanent Resident,Pacific Peoples,Male,1,N,N,7.6,6.2,6.3,9.3,6.4,Y,2024,Lecturers were approachable and knowledgeable
1000000932,Business & Economics,International,Other,Female,4,N,Y,7.6,7.1,8.6,7.0,6.7,Y,2024,Support services were very helpful
1000005316,Health Sciences,NZ Citizen,Māori,Male,3,Y,N,6.2,6.4,3.4,5.9,5.0,Y,2024,Course content felt outdated in places
1000002291,Education,NZ Citizen,NZ European,Male,2,N,N,8.8,10.0,10.0,7.1,8.7,Y,2024,Scholarship support made a real difference
1000003006,Science & Technology,International,Asian,Female,2,N,Y,4.0,7.3,4.6,5.1,4.8,Y,2024,Administrative processes were confusing
1000001773,Business & Economics,NZ Permanent Resident,Asian,Male,4,N,Y,7.1,5.0,3.5,5.4,5.4,Y,2024,Great sense of community in my programme
1000001652,Education,NZ Citizen,MELAA,Male,1,N,Y,10.0,7.5,8.3,5.4,7.7,Y,2024,Workload felt unmanageable at times
1000004472,Education,International,Asian,Male,1,N,N,6.6,10.0,4.5,4.6,6.4,Y,2024,Would appreciate more feedback on assessments
1000001056,Business & Economics,NZ Citizen,Māori,Male,2,N,Y,7.1,6.6,4.9,5.4,5.7,Y,2024,Course content felt outdated in places
1000002313,Education,NZ Citizen,Unknown/Not Stated,Male,4,Y,N,9.8,7.6,6.3,6.8,7.9,Y,2024,Enjoyed the hands-on learning approach
1000004189,Arts & Social Sciences,NZ Citizen,Asian,Male,3,N,Y,6.2,8.1,7.3,9.2,6.8,Y,2024,Administrative processes were confusing
1000003414,Arts & Social Sciences,NZ Citizen,Asian,Male,3,N,N,4.9,8.9,9.6,6.0,7.1,Y,2024,Workload felt unmanageable at times
1000005328,Arts & Social Sciences,International,Asian,Male,1,N,Y,8.8,4.5,4.4,5.6,5.7,Y,2024,Lecturers were approachable and knowledgeable
1000002640,Education,NZ Citizen,Asian,Male,2,N,Y,9.6,7.4,7.7,2.4,6.9,Y,2024,Great sense of community in my programme
1000006252,Arts & Social Sciences,NZ Citizen,Pacific Peoples,Male,4,N,N,5.1,4.9,5.2,3.8,4.4,Y,2024,Scholarship support made a real difference
1000000491,Health Sciences,International,Asian,Male,1,N,N,7.0,8.6,6.9,6.0,6.6,Y,2024,Support services were very helpful
1000004253,Business & Economics,NZ Permanent Resident,NZ European,Female,2,Y,N,7.6,7.0,4.5,6.5,7.4,Y,2024,Clear pathway to employment in my field
1000001891,Science & Technology,International,Asian,Male,2,N,N,9.6,5.5,5.6,5.2,7.1,Y,2024,Clear pathway to employment in my field
